,Parameters,Input Size,ONNX Size,Proof Size,Prove Time,Prove Mem,Verifier Size,Bytecode Size
192,4632,1.518,18.564,15.435,7.266,64.621,60.034,14.727
96,2328,0.768,9.56,15.396,3.804,64.622,60.034,14.729
336,8088,2.643,32.064,15.404,7.739,64.622,60.034,14.729
720,17304,5.643,68.064,15.349,4.001,64.622,60.034,14.729
96,2328,0.768,9.56,15.415,0.641,0.047,60.034,14.729
96,2328,0.768,9.56,15.387,0.632,0.76,60.034,14.729
192,4632,1.518,18.564,15.429,1.138,73.723,60.034,14.727
192,4632,1.518,18.564,15.454,1.064,80.555,60.034,14.727
96,2328,0.768,9.56,15.386,0.661,73.99,60.034,14.729
336,8088,2.643,32.064,15.408,1.214,74.119,60.034,14.729
720,17304,5.643,68.064,15.38,4.221,74.263,60.034,14.729
192,4632,1.518,18.564,15.401,1.161,74.286,60.034,14.727
192,4632,1.518,18.564,15.409,1.034,74.338,60.034,14.727
96,2328,0.768,9.56,15.354,0.62,74.393,60.034,14.729
96,2328,0.768,9.56,15.399,0.706,74.444,60.034,14.729
192,4632,1.518,18.564,15.403,1.192,74.51,60.034,14.727
336,8088,2.643,32.064,15.401,1.088,74.577,60.034,14.729
720,17304,5.643,68.064,15.396,3.833,74.695,60.034,14.729
96,2328,0.768,9.56,16.109,0.855,5.447,64.134,15.287
96,2328,0.768,9.56,16.086,0.826,0.051,64.134,15.287
96,2328,0.768,9.56,16.146,0.873,73.25,64.134,15.287
96,2328,0.768,9.56,16.127,0.799,73.318,64.134,15.287
96,2328,0.768,9.56,15.437,0.601,0.028,60.034,14.729
96,2328,0.768,9.56,15.336,0.62,73.229,60.034,14.729
